firstName;lastName;personId;gameId;gameDateTimeEst;gameType;gameLabel;gameSubLabel;seriesGameNumber;win;home;playerteamId;playerteamCity;playerteamName;opponentteamId;opponentteamCity;opponentteamName;comment;startingPosition;numMinutes;points;assists;reboundsTotal;reboundsOffensive;reboundsDefensive;fieldGoalsMade;fieldGoalsAttempted;fieldGoalsPercentage;threePointersMade;threePointersAttempted;threePointersPercentage;freeThrowsMade;freeThrowsAttempted;freeThrowsPercentage;steals;blocks;blocksAgainst;turnovers;foulsPersonal;foulsAgainst;plusMinusPoints;doubleDouble;tripleDouble;estimatedOffensiveRating;offensiveRating;spWorkOffensiveRating;estimatedDefensiveRating;defensiveRating;spWorkDefensiveRating;estimatedNetRating;netRating;spWorkNetRating;assistPercentage;assistToTurnoverRatio;assistRatio;offensiveReboundPercentage;defensiveReboundPercentage;reboundPercentage;teamTurnoverPercentage;estimatedTurnoverPercentage;effectiveFieldGoalPercentage;trueShootingPercentage;usagePercentage;estimatedUsagePercentage;estimatedPace;pace;pacePer40;spWorkPace;playerImpactEstimate;possessions;pointsOffTurnovers;pointsSecondChance;pointsFastBreak;pointsInPaint;opponentPointsOffTurnovers;opponentPointsSecondChance;opponentPointsFastBreak;opponentPointsInPaint;percentFieldGoalAttempts2Point;percentFieldGoalAttempts3Point;percentPoints2Point;percentPoints2PointMidRange;percentPoints3Point;percentPointsFastBreak;percentPointsFreeThrow;percentPointsOffTurnovers;percentPointsInPaint;percentAssisted2PointMade;percentUnassisted2PointMade;percentAssisted3PointMade;percentUnassisted3PointMade;percentAssistedFieldGoalsMade;percentUnassistedFieldGoalsMade;percentTeamFieldGoalsMade;percentTeamFieldGoalsAttempted;percentTeamThreePointersMade;percentTeamThreePointersAttempted;percentTeamFreeThrowsMade;percentTeamFreeThrowsAttempted;percentTeamOffensiveRebounds;percentTeamDefensiveRebounds;percentTeamRebounds;percentTeamAssists;percentTeamTurnovers;percentTeamSteals;percentTeamBlocks;percentTeamBlocksAgainst;percentTeamFoulsPersonal;percentTeamFoulsDrawn;percentTeamPoints
Mitchell;Robinson;1629011;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;;19.983.333.333.333.300;2;2;10;6;4;1;2;00.05;0;0;00.00;0;2;00.00;0;0;0;0;1;2;5;0;0;102.00.00;107.07.00;107.07.00;93.08.00;94.09.00;94.09.00;08.02;12.08;12.08;0,099305556;00.00;40.00.00;0,160416667;0,126388889;0,144444444;00.00;00.00;00.05;0,240972222;0.059;00.06;96.82;93.07.00;78.08.00;93.07.00;0,086111111;39;0;2;0;2;11.00;07.00;05.00;16.00;01.00;00.00;01.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00;01.00;00.00;00.00;00.00;01.00;0.067;0.053;00.00;00.00;00.00;0,099305556;0,595138889;0,163194444;0,289583333;00.05;00.00;00.00;00.00;00.00;00.02;0,106944444;0.048
Carter;Bryant;1642868;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;0;1;1610612759;San Antonio;Spurs;1610612752;New York;Knicks;;;5.933.333.333.333.330;0;0;2;0;2;0;0;00.00;0;0;00.00;0;0;00.00;0;0;0;1;0;0;2;0;0;77.06.00;83.03.00;83.03.00;72.07.00;72.07.00;72.07.00;04.09;10.06;10.06;00.00;00.00;00.00;00.00;00.04;0,099305556;100.00.00;100.00.00;00.00;00.00;0.059;0.059;96.59.00;93.03.00;77.53.00;93.03.00;0,077083333;12;0;0;0;0;03.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;0,463194444;0,198611111;00.00;00.25;00.00;00.00;00.00;00.00;00.00;00.00
Jalen;Brunson;1628973;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;G;4.111.666.666.666.660;45;3;3;1;2;14;27;0,360416667;4;7;0,396527778;13;15;0,602083333;2;0;0;3;1;9;10;0;0;94.09.00;107.07.00;107.07.00;94.00.00;96.01.00;96.01.00;00.08;11.06;11.06;0,148611111;01.00;07.07;0.019;0.044;0.031;07.07;07.06;0,411805556;0,046527778;00.36;0,255555556;97.63;90.46.00;75.38.00;90.46.00;0,214583333;78;8;11;6;14;18.00;13.00;10.00;34.00.00;0,514583333;0,179861111;0,308333333;0,092361111;0,185416667;0,092361111;0,200694444;0,123611111;0,215972222;00.02;00.08;00.25;0,052083333;0,148611111;0,545833333;00.05;0,2375;00.04;0,147222222;0,501388889;0,434027778;0.091;0.067;0.073;00.25;00.03;0,198611111;00.00;00.00;0.059;00.45;0,372222222
Victor;Wembanyama;1641705;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;0;1;1610612759;San Antonio;Spurs;1610612752;New York;Knicks;;C;3.786.666.666.666.660;19;2;14;6;8;7;19;0,255555556;1;6;0,115972222;4;5;00.08;0;5;0;2;3;7;-3;1;0;104.07.00;105.06.00;105.06.00;100.06.00;106.08.00;106.08.00;04.02;-1.2;-1.2;00.01;01.00;08.00;0,101388889;0,126388889;0,114583333;08.00;07.09;0,274305556;0,311111111;0,190277778;0,197222222;94.54.00;91.27.00;76.06.00;91.27.00;0,104861111;71;8;4;5;12;15.00;12.00;09.00;24.00.00;0,475;0,219444444;0,438888889;00.00;0,109722222;0,182638889;00.21;0,292361111;0,438888889;0,463194444;0,23125;00.00;01.00;0,396527778;0,297916667;0,179861111;0,2;0.091;0,14375;00.04;0,23125;00.06;0,213888889;0,270138889;0,081944444;0,154166667;00.00;0,578472222;00.00;00.15;0,286111111;0,175694444
Karl-Anthony;Towns;1626157;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;C;22.733.333.333.333.300;2;1;10;1;9;1;7;0,099305556;0;2;00.00;0;0;00.00;3;1;2;5;6;3;-4;0;0;79.02.00;87.05.00;87.05.00;94.02.00;90.07.00;90.07.00;-15.0;-3.2;-3.2;0.091;00.02;07.07;0.042;0,240277778;00.02;38.05.00;38.05.00;0,099305556;0,099305556;00.25;0,172916667;90.37.00;87.62;73.02.00;87.62;-0.022;40;0;0;0;0;10.00;08.00;07.00;16.00;0,495833333;0,198611111;01.00;01.00;00.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00;00.00;01.00;0.083;0,134722222;00.00;0,092361111;00.00;00.00;00.25;0,480555556;0,408333333;0,086805556;00.05;00.06;0,23125;00.04;00.05;00.06;0.057
Jordan;Clarkson;203903;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;;6.116.666.666.666.660;2;0;1;1;0;1;5;00.02;0;2;00.00;0;0;00.00;0;0;1;0;0;0;3;0;0;105.06.00;125.00.00;125.00.00;124.05.00;109.01.00;109.01.00;-18.8;15.09;15.09;00.00;00.00;00.00;00.01;00.00;0.056;00.00;00.00;00.02;00.02;0,193055556;0,190972222;93.54.00;90.25.00;75.02.00;90.25.00;-0.1;12;0;0;0;2;03.00;04.00;01.00;06.00;00.06;00.04;01.00;00.00;00.00;00.00;00.00;00.00;01.00;01.00;00.00;00.00;00.00;01.00;00.00;00.25;0,247916667;00.00;0,23125;00.00;00.00;00.25;00.00;0,099305556;00.00;00.00;00.00;00.00;01.00;00.00;00.00;0,092361111
Luke;Kornet;1628436;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;0;1;1610612759;San Antonio;Spurs;1610612752;New York;Knicks;;;10.25;0;0;2;1;1;0;1;00.00;0;0;00.00;0;0;00.00;0;0;1;1;2;1;-3;0;0;68.09.00;65.02.00;65.02.00;76.05.00;78.03.00;78.03.00;-7.6;-13.0;-13.0;00.00;00.00;00.00;0.063;0.059;0.061;50.00.00;50.00.00;00.00;00.00;0.069;0.078;106.04.00;107.72;89.77;107.72;-0.172;23;0;0;0;0;03.00;03.00;04.00;06.00;01.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.05;00.00;00.00;00.00;00.00;00.25;0,086805556;0,115972222;00.00;00.25;00.00;00.00;01.00;00.05;00.25;00.00
Devin;Vassell;1630170;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;0;1;1610612759;San Antonio;Spurs;1610612752;New York;Knicks;;F;39.02.00;12;2;7;0;7;5;8;0,434027778;2;5;00.04;0;0;00.00;2;1;0;0;1;1;-11;0;0;97.06.00;101.04.00;101.04.00;103.00.00;111.08.00;111.08.00;-5.4;-10.5;-10.5;0.083;00.00;20.00;00.00;0,105555556;0.079;00.00;00.00;0,052083333;0,052083333;0.095;0.097;96.98;91.22.00;76.02.00;91.22.00;0,1125;73;0;2;2;4;18.00;14.00;13.00;30.00.00;0,260416667;0,434027778;00.05;0,115972222;00.05;0,115972222;00.00;00.00;0,23125;0,463194444;0,23125;01.00;00.00;00.08;00.02;0,119444444;0,079166667;0,154166667;0,124305556;00.00;00.00;00.00;0,186805556;0,147222222;0,081944444;00.00;00.04;00.25;00.00;0.056;0.067;0,1125
Jeremy;Sochan;1631110;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;;00.15;0;0;0;0;0;0;0;00.00;0;0;00.00;0;0;00.00;0;0;0;0;0;0;1;0;0;113.06.00;50.00.00;50.00.00;00.00;00.00;00.00;113.06.00;50.00.00;50.00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;451.64;654.55.00;545.45.00;654.55.00;00.00;2;0;0;0;0;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Miles;McBride;1630540;42500405;13/06/2026 20.30;Playoffs;NBA Finals;Game 5;5;1;0;1610612752;New York;Knicks;1610612759;San Antonio;Spurs;;;12.883.333.333.333.300;0;1;0;0;0;0;2;00.00;0;2;00.00;0;0;00.00;0;0;0;0;1;0;3;0;0;110.07.00;116.00.00;116.00.00;101.04.00;100.00.00;100.00.00;09.03;16.00;16.00;00.01;00.00;33.03.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;0.065;0.066;96.57.00;95.01.00;79.17.00;95.01.00;-0.048;25;0;0;0;0;03.00;03.00;04.00;08.00;00.00;01.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.08;00.00;0,126388889;00.00;00.00;00.00;00.00;00.00;00.25;00.00;00.00;00.00;00.00;00.02;00.00;00.00
